Año_Mes;Alimentos Y Bebidas No Alcohólicas;Bebidas Alcohólicas, Tabaco Y Narcóticos;Ropa Y Calzado;Vivienda, Agua, Electricidad, Gas Y Otros Combustibles;Mobiliario, Enseres Domésticos Y Demás Artículos Regulares De Los Hogares;Salud;Transporte;Información Y Comunicación;Recreación, Deporte Y Cultura;Servicios De Educación;Restaurantes Y Servicios De Alojamiento;Seguros Y Servicios Financieros;Cuidado Personal, Protección Social Y Bienes Diversos;IPC
ene.-11;35.9678;37.4444;56.7256;39.3858;37.2109;36.0736;40.9306;62.1812;41.8497;31.045;34.0605;39.5136;36.9017;38.78
feb.-11;36.3053;37.6282;56.8449;40.17;37.6939;36.2774;41.12;62.3827;42.0437;32.2718;34.2852;39.595;37.1532;39.14
mar.-11;36.9229;37.7673;57.4591;40.9752;37.9433;36.3941;42.3727;62.2651;42.2187;32.6597;34.9629;39.6525;37.6539;39.7
abr.-11;36.8299;37.7542;58.1841;41.2265;38.2167;36.5355;42.4259;62.2075;42.3242;32.8402;35.4835;39.8374;37.8718;39.83
may.-11;36.9136;37.843;58.2716;41.4738;38.2878;36.8284;42.567;62.1167;42.3299;32.8358;35.7453;39.92;38.1781;39.96
jun.-11;36.974;38.0481;58.391;41.6787;38.3183;36.9624;42.6327;61.9467;42.9166;32.9071;35.9174;40.211;38.4443;40.1
jul.-11;37.3683;38.1178;58.048;41.9511;38.3905;37.2106;42.6957;61.9766;44.3431;33.2131;36.0902;40.752;38.7734;40.4
ago.-11;37.5169;38.1862;57.8197;42.2284;38.9179;37.7437;42.9936;62.1065;44.5012;33.8206;36.3517;40.9232;38.9382;40.63
sep.-11;37.7064;38.2077;57.9489;42.4133;39.1876;38.0351;43.3235;62.2479;44.8173;33.9335;36.5612;41.1109;39.1764;40.84
oct.-11;38.0718;38.2701;58.8682;42.636;39.4028;38.2966;43.8296;62.4039;45.0628;34.0083;36.7186;41.2135;39.4745;41.13
nov.-11;38.187;38.4166;59.7328;42.8842;39.4906;38.3643;43.9586;62.4355;45.0362;34.0111;36.9306;41.5029;39.6968;41.3
dic.-11;38.2323;40.0628;59.8292;43.1436;39.6074;38.4651;44.6843;62.5882;45.3383;34.0784;37.362;41.7389;40.0243;41.59
ene.-12;38.4087;40.3466;59.065;44.3109;39.7037;38.7103;44.2435;62.6156;45.7512;34.3399;37.8185;42.5047;40.5001;41.9
feb.-12;38.7573;40.4617;58.9425;44.8642;40.7083;39.036;44.5869;62.6285;43.9375;36.045;38.316;42.9085;40.8623;42.25
mar.-12;39.4842;40.4996;59.1106;45.0427;40.9574;39.1775;44.6546;62.6593;45.7919;36.593;38.7339;42.8749;41.2131;42.67
abr.-12;39.9728;40.4861;59.8268;45.3575;41.2308;39.3607;45.2048;62.7726;45.7786;36.8264;39.063;43.0161;41.6474;43.02
may.-12;39.8437;40.5147;60.7531;45.6914;41.508;39.5026;45.6369;62.9224;46.1213;36.879;39.2949;43.2499;41.7876;43.18
jun.-12;39.3733;40.5011;60.5959;45.9362;41.9975;39.6775;46.5877;63.3585;46.6753;37.1535;39.5953;43.5776;42.0955;43.31
jul.-12;39.8926;40.57;60.0089;44.876;42.2952;39.8181;46.8086;63.4217;47.0142;37.2446;39.8785;43.8543;42.5513;43.43
ago.-12;40.5835;40.7464;60.0754;44.5945;43.1619;40.0251;46.6259;63.2784;47.0777;37.929;40.1956;45.7545;43.0566;43.84
sep.-12;41.4131;40.8043;60.3881;45.3154;43.4275;41.0076;46.8717;63.317;47.3891;38.1215;40.5284;46.2319;43.6177;44.37
oct.-12;42.1371;40.8183;61.466;47.5741;43.3036;41.1769;46.6016;63.031;47.2933;38.1897;40.8618;45.5898;43.9038;44.88
nov.-12;42.2647;40.7221;62.471;47.8655;43.2328;41.2709;46.5273;63.0144;47.5255;38.2028;41.3537;45.5982;44.0031;45.03
dic.-12;42.3724;40.7146;62.4286;44.9947;43.1611;41.2901;46.3585;62.8546;47.562;38.2186;41.6772;45.7748;44.2285;44.7
ene.-13;43.0413;40.9753;61.7445;48.2372;43.3454;41.7755;47.0675;62.901;47.9801;38.5493;42.2535;46.2188;44.9417;45.56
feb.-13;43.4665;41.1621;61.4727;49.5176;43.7892;41.9286;46.9603;62.9792;48.1389;40.2704;42.5309;46.4953;45.4348;46.01
mar.-13;43.9663;41.2394;61.882;49.7344;44.2193;42.3582;46.9338;63.012;48.2673;41.0596;42.7863;46.5739;45.627;46.31
abr.-13;44.2286;41.2778;62.6011;49.9438;44.3458;42.5131;46.993;63.2467;48.2086;41.2705;43.0511;46.7717;45.8439;46.52
may.-13;44.0707;41.3145;63.4093;50.2069;45.6013;42.6115;47.1788;63.2498;48.3573;41.3186;43.1458;46.9448;46.0248;46.67
jun.-13;43.8393;41.3285;63.2719;50.4563;46.1594;42.8355;47.9972;63.7426;49.1758;41.3397;43.5775;47.2639;46.2272;46.87
jul.-13;44.0642;41.4404;62.8019;50.8657;46.3326;43.04;48.2752;63.7591;49.5244;41.5651;43.8916;49.3101;46.7215;47.23
ago.-13;44.8825;41.5365;62.7894;51.1303;46.6863;44.0764;48.6691;64.0265;49.8076;42.3993;44.1042;49.7763;47.092;47.72
sep.-13;45.8902;41.6551;63.0659;51.5993;47.1094;44.4445;50.1878;64.152;50.1857;42.5237;44.5041;50.2158;47.3982;48.37
oct.-13;46.2564;41.8244;63.9208;51.9699;47.2189;44.6397;50.7207;64.1242;51.8349;42.6081;44.9841;50.3463;47.7883;48.77
nov.-13;46.3413;41.8932;64.5114;52.242;47.2572;44.7457;50.6514;64.0841;51.8508;42.6853;45.2336;49.9898;48.0932;48.87
dic.-13;46.1941;41.8431;64.6626;49.0373;47.3031;44.9264;50.852;64.1602;52.171;42.7076;45.6148;50.3327;48.4675;48.52
ene.-14;46.8043;41.9803;64.1374;54.4707;47.4268;45.3761;51.8543;64.3562;52.5686;43.5051;46.0695;51.2262;48.884;49.7
feb.-14;47.9662;42.1386;64.1953;54.8509;49.7762;45.6683;52.4981;65.0392;53.0113;45.6656;46.8867;51.4699;49.2746;50.52
mar.-14;48.6526;42.2068;64.5716;54.6767;49.9011;45.9567;53.2211;63.366;52.1189;46.577;47.3882;51.6677;49.6958;50.82
abr.-14;48.6644;42.2367;64.8294;54.9174;50.1639;46.256;53.3581;63.5288;51.085;46.7815;47.7222;49.9018;49.8482;50.79
may.-14;48.5521;42.2928;65.7697;55.263;50.3306;46.5701;53.4441;63.569;51.1993;46.8078;48.0872;50.244;50.2435;50.95
jun.-14;48.5677;43.2503;65.9809;55.5072;50.3685;46.9149;53.4333;63.6388;51.6143;46.8182;48.3976;50.5665;50.3531;51.12
jul.-14;49.2644;43.762;65.8651;54.9168;50.597;47.4583;53.4536;63.7181;52.091;47.147;48.6242;52.4097;51.1179;51.51
ago.-14;49.762;43.8652;65.4978;55.1711;50.8363;48.2849;53.8144;63.9091;52.1431;48.2567;49.1322;52.8736;51.4176;51.89
sep.-14;50.6702;43.9278;65.7143;55.4833;51.1296;48.5291;54.9144;64.0276;52.3795;48.3587;49.466;53.1819;51.6512;52.41
oct.-14;51.0183;44.0273;66.6478;55.7802;51.4662;48.8297;55.1499;64.2394;52.6918;48.4361;49.7908;53.2775;52.1606;52.72
nov.-14;50.8507;44.066;67.2336;56.0873;51.6005;48.9859;55.0242;64.2491;52.8007;48.4631;50.0201;53.4902;52.6252;52.8
dic.-14;51.3517;44.6374;67.3465;52.5793;51.7812;49.0943;55.3165;64.3586;53.188;48.7921;50.645;51.6723;52.8968;52.52
ene.-15;51.9739;46.5674;66.9104;57.5954;51.8799;49.6385;55.933;64.6046;53.7864;48.9296;51.3481;52.2668;53.3571;53.69
feb.-15;52.3413;46.6589;66.8752;58.5419;53.8766;49.9907;56.1438;64.5966;54.0978;51.6742;51.9546;52.3673;54.0166;54.28
mar.-15;52.7606;46.8662;67.2767;58.7325;54.4314;50.5939;56.6331;64.9457;54.4285;52.3488;52.2506;52.4733;54.5938;54.65
abr.-15;52.8917;46.9801;67.949;58.9705;54.9155;50.7762;57.2862;65.4754;55.0345;52.568;52.5366;52.7315;55.1288;54.97
may.-15;53.2016;47.1285;68.5779;59.2849;55.2332;50.9931;57.2715;65.6427;55.0803;52.7158;52.9436;53.0592;55.4712;55.24
jun.-15;53.2608;47.9036;68.8743;59.584;55.5547;51.2588;57.4591;65.867;55.4467;52.8282;53.2609;53.4357;55.9502;55.48
jul.-15;54.1531;50.9522;68.3904;59.8267;55.9053;51.7381;58.1363;66.1003;55.8006;53.1913;53.7993;54.2501;56.5292;56.15
